,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,כמות המופעים של המילה לאורך השנים
assembly,4,19,4,3,11,34,10,3,4,5,2,4,25,2,0,7,2,0,4,4,2,12,3,19,2,1,21,6,3,26
assertion,3,0,2,0,0,4,2,1,0,0,1,0,0,1,0,1,10,6,6,4,8,6,3,1,5,3,1,2,2,15
asserts,2,0,1,3,0,8,1,6,0,1,4,1,0,1,4,1,5,4,4,4,1,2,6,4,6,9,7,3,5,18
assess,2,0,3,6,6,5,7,8,8,5,27,12,7,13,9,26,20,25,23,26,22,39,42,68,41,49,56,48,51,28
assessed,2,1,2,1,5,3,6,7,3,6,6,8,1,4,4,13,12,19,10,8,11,13,16,11,16,14,14,12,10,26
assessing,3,2,1,3,2,9,8,3,4,3,2,2,3,9,5,4,10,9,6,8,14,21,16,19,15,17,11,15,25,28
assessment,6,7,5,2,5,4,9,3,5,2,6,2,6,2,1,19,15,12,10,4,12,8,13,33,17,47,16,11,26,28
assessments,0,0,1,0,0,0,0,2,0,1,4,0,1,1,0,5,2,0,2,1,0,2,1,18,7,10,3,3,6,12
asset,0,1,0,0,2,1,0,0,13,10,18,10,1,2,21,0,0,1,0,0,2,4,5,3,2,0,24,1,33,14
assets,0,5,0,0,0,0,0,0,2,8,5,2,0,0,16,0,0,0,0,1,0,0,5,1,1,2,13,1,21,10
assign,11,2,10,9,12,15,14,8,13,19,19,18,13,13,11,20,28,54,30,44,48,48,67,55,68,97,68,92,72,29
assigned,25,16,22,37,25,28,50,19,34,42,45,31,35,27,24,68,66,88,87,94,109,125,175,142,143,196,153,199,135,29
assigning,5,4,6,14,8,10,9,11,6,12,14,6,9,4,5,26,13,21,22,24,28,30,34,38,39,44,47,61,39,29
assignment,34,6,43,27,28,15,41,31,26,63,29,27,14,38,6,41,63,135,54,95,125,133,260,153,100,217,196,268,155,29
assignments,8,3,2,3,17,4,6,10,6,6,19,11,5,12,10,15,30,72,57,45,61,49,160,112,62,76,101,163,110,29
assigns,4,1,8,10,6,7,11,8,15,13,13,9,9,8,7,24,18,23,21,23,39,39,51,35,41,61,51,58,58,28
assist,5,0,3,0,2,1,4,1,5,0,4,1,2,1,4,2,6,4,4,3,3,3,1,8,1,8,3,4,11,20
assistance,10,10,4,4,3,5,10,4,4,4,2,1,8,2,2,3,6,2,5,2,2,5,2,18,1,4,5,1,3,26
assistant,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,4,0,0,0,75,4,5,0,0,2,6
assisted,0,2,1,1,4,2,1,1,1,1,3,0,1,1,4,1,2,0,0,4,2,3,3,5,7,7,2,5,9,16
asso,1,5,6,2,2,2,2,4,4,0,5,1,0,0,2,2,0,0,0,4,1,4,7,7,7,5,8,10,0,19
assoc,3,3,3,1,6,2,2,5,1,6,4,3,1,1,1,4,9,2,5,8,7,7,6,6,12,14,6,15,8,24
associ,1,2,3,1,1,2,1,1,0,0,3,5,2,0,1,0,0,1,0,3,4,3,6,5,6,5,6,5,0,15
associate,5,17,4,7,9,10,8,3,5,11,4,7,8,9,5,29,11,25,9,13,12,15,16,18,28,46,27,30,27,29
associated,84,90,75,138,81,64,105,74,96,86,100,82,128,125,73,144,265,245,231,334,276,324,398,439,457,534,423,482,463,29
associates,2,12,1,4,5,2,12,10,9,6,8,4,8,1,3,20,5,8,7,10,10,12,14,35,9,27,14,33,28,27
associating,4,7,2,1,2,2,2,1,2,3,3,2,2,3,1,3,8,7,6,7,4,8,10,8,11,12,9,3,5,26
association,26,26,59,26,6,22,16,15,13,20,15,25,22,22,39,43,52,37,69,21,49,59,77,167,121,197,173,171,128,29
associations,16,11,3,18,5,4,16,4,7,2,4,1,19,2,6,5,4,20,7,10,18,14,27,49,31,20,22,21,15,28
associative,233,119,99,88,32,55,43,88,47,17,47,32,26,5,27,9,12,11,18,8,21,17,10,7,58,12,50,5,39,29
assp,5,13,3,12,1,6,5,3,4,1,0,1,1,1,0,0,0,1,0,1,1,0,0,2,2,0,0,0,2,11
assume,89,47,66,107,80,95,140,138,157,171,201,169,202,183,196,246,354,432,412,451,471,573,756,728,797,914,1078,991,1109,29
assumed,70,38,42,53,68,35,62,57,93,70,85,93,100,67,44,101,117,120,127,160,135,180,224,186,204,240,178,224,231,29
assumes,18,11,17,12,17,17,15,26,19,30,28,29,20,27,28,33,46,51,64,54,65,61,110,97,72,94,121,130,113,29
assuming,30,24,23,31,30,34,37,44,46,46,70,56,70,55,37,75,97,119,116,129,106,133,181,166,192,214,220,239,243,29
assump,0,0,0,0,3,2,3,2,3,3,3,3,2,1,0,3,0,0,1,6,11,12,13,11,15,7,17,22,2,20
assumption,48,23,28,37,51,38,88,62,92,99,124,93,119,110,93,163,223,244,199,247,283,393,446,510,534,669,639,858,795,29
assumptions,25,16,23,37,33,44,54,49,53,70,70,43,71,57,66,92,120,150,114,127,237,198,239,275,327,382,386,416,565,29
assured,3,0,1,1,0,0,0,3,3,0,1,1,1,0,1,4,0,1,2,2,0,5,3,6,1,6,1,5,5,12
assures,2,1,1,1,1,1,1,2,2,1,0,2,4,1,2,2,1,3,3,2,2,2,4,2,1,4,3,5,3,18
aston,0,0,0,0,1,0,1,5,5,26,19,17,5,4,2,5,2,3,16,1,4,1,0,0,0,1,2,10,0,15
asuncion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,15,11,26,20,16,6,9
asymmetric,9,13,4,10,8,23,20,8,4,16,15,19,30,5,50,5,21,14,19,16,15,29,45,27,36,46,61,88,27,29
asymmetrical,2,0,0,1,0,0,2,2,1,0,6,5,4,0,7,0,2,0,0,1,0,3,0,1,1,1,1,20,0,10
asymmetry,0,3,4,0,3,0,2,1,2,2,3,20,5,0,2,3,9,8,4,11,7,3,4,5,13,17,18,18,2,24
asymp,1,0,0,0,1,2,5,1,2,2,2,1,1,0,2,1,1,0,0,5,5,2,2,2,9,7,15,5,0,15
asymptote,0,2,2,2,2,3,2,3,5,1,1,0,1,3,5,6,0,1,2,0,5,4,0,1,0,0,0,1,0,14
asymptotic,19,8,15,40,31,51,51,42,83,59,79,35,51,37,26,46,64,48,70,58,109,87,121,164,194,189,241,228,274,29
asymptotically,16,7,10,14,8,20,27,15,26,22,17,45,20,19,20,17,51,42,34,29,42,55,65,56,79,119,116,151,160,29
asymptotics,0,0,1,2,0,6,5,4,4,2,2,4,3,0,2,2,3,2,12,2,1,1,14,3,9,20,33,18,16,22
async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,13,0,3,3
asynchronous,23,11,19,8,4,14,80,11,25,2,7,28,9,2,9,1,19,10,20,13,6,24,14,15,21,26,59,50,239,28
asynchronously,6,5,1,1,2,1,2,1,1,2,1,3,2,0,0,0,0,0,6,1,0,1,5,0,3,3,7,5,14,14
atari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,20,3
atc,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,61,0,0,1,0,0,1,2,0,4,4,0,1,0,5
ate,4,3,7,3,7,7,4,4,5,3,2,7,7,1,4,7,0,0,1,1,3,11,11,8,16,13,22,11,6,24
ated,2,4,3,3,3,3,4,6,1,5,5,4,3,5,5,8,2,2,2,6,8,8,13,15,8,14,15,10,1,27
athena,0,0,0,0,0,0,0,0,2,6,9,2,3,6,6,1,5,3,8,9,11,4,9,14,13,21,14,16,12,20
ati,1,1,0,0,0,0,0,1,2,5,0,2,2,0,0,0,4,1,0,2,5,1,0,0,4,11,2,12,55,12
atick,0,0,0,5,2,5,6,6,4,22,7,3,2,27,0,5,2,4,3,1,1,1,1,0,4,4,0,0,0,17
ation,3,1,3,3,8,3,9,1,5,2,4,6,3,4,9,10,1,0,2,3,12,5,11,11,11,14,10,21,3,25
ations,0,3,0,0,2,2,1,2,5,1,2,3,4,2,1,0,0,0,0,1,4,0,5,6,9,9,11,13,0,16
ative,0,2,2,2,2,2,2,2,1,1,2,5,9,6,3,1,0,0,0,4,7,5,8,9,3,12,11,8,1,21
atkeson,0,2,7,6,17,14,37,4,18,31,32,13,2,2,0,3,8,0,2,1,11,6,3,0,1,4,3,6,4,23
atlanta,2,0,1,0,0,0,0,0,1,7,3,1,7,0,2,0,2,2,0,2,2,6,8,2,3,3,9,1,6,16
atlas,8,0,12,6,13,2,2,1,0,1,3,0,0,0,1,0,2,10,2,0,11,6,15,33,15,7,15,11,8,19
atom,3,0,0,6,0,0,2,1,0,0,4,2,0,0,0,0,0,19,12,5,4,0,22,17,41,101,12,43,61,16
atomic,1,0,0,0,9,0,0,0,0,2,2,2,2,0,2,22,6,9,2,14,14,6,26,15,33,47,29,66,72,20
atoms,6,2,5,21,0,1,1,0,0,0,0,0,0,1,0,0,3,31,13,7,5,5,47,18,50,183,22,88,113,17
attached,12,3,3,11,11,8,5,6,5,1,8,5,5,6,6,14,11,8,9,3,4,16,18,4,9,13,8,18,10,28
attachment,0,1,1,2,1,4,0,0,0,0,0,0,1,0,0,2,1,9,4,3,0,6,17,4,0,5,10,8,4,13
attack,1,2,2,5,2,2,2,2,0,1,5,3,2,0,2,0,7,24,9,3,3,5,6,11,9,11,28,18,7,24
attacker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,0,3,32,1,4
attacks,0,1,0,0,0,3,0,2,0,0,4,0,0,0,0,0,2,5,2,6,2,8,4,10,1,9,13,23,5,15
attain,1,1,2,2,6,1,3,2,1,2,4,0,3,2,6,4,5,8,5,8,0,9,16,18,11,23,31,33,39,23
attainable,3,1,0,1,1,3,2,3,0,3,4,1,0,1,1,3,1,4,1,1,2,3,3,18,22,11,11,15,24,17
attained,3,0,5,6,4,3,4,11,3,4,4,8,5,16,6,11,25,23,18,23,21,15,14,12,26,41,21,24,39,28
attaining,1,5,2,1,1,0,1,0,0,1,0,0,3,0,0,2,7,6,6,2,5,0,3,2,3,2,5,8,8,16
attains,2,4,0,1,2,0,1,0,1,0,2,1,4,1,4,9,8,8,17,4,6,6,14,13,20,23,38,44,34,20
attempt,25,22,27,17,34,18,20,27,29,19,24,24,27,16,25,36,42,56,30,52,47,57,53,54,63,82,53,67,68,29
attempted,4,10,6,8,9,4,8,5,7,10,7,5,12,5,4,2,9,7,11,4,13,12,15,17,13,15,14,14,18,29
attempting,5,4,9,5,10,2,5,6,7,6,3,2,3,6,5,8,14,6,5,4,14,11,11,11,10,12,12,8,10,29
attempts,14,12,13,22,30,22,20,21,19,19,17,21,21,24,15,35,17,33,28,31,44,39,43,34,49,64,56,67,63,29
attend,0,2,1,1,1,5,0,2,3,0,7,3,0,0,1,0,2,4,1,0,0,3,2,0,0,4,3,9,20,14
attended,0,0,0,0,3,3,1,0,8,2,7,24,6,0,40,9,0,1,1,6,4,4,0,0,4,3,0,9,4,16
attention,25,37,14,48,73,36,30,44,93,46,90,70,123,38,99,36,43,100,114,87,115,151,107,79,109,126,118,204,394,29
attentional,0,6,2,5,9,7,14,0,16,38,37,22,18,3,53,5,1,20,34,34,16,31,9,13,6,14,2,42,5,26
attentive,2,0,0,0,1,1,2,0,13,1,3,12,7,0,0,0,0,0,2,3,2,1,1,0,0,2,0,5,15,12
attenuated,3,2,0,1,4,1,1,0,1,3,0,4,0,2,0,6,2,5,6,4,1,5,1,1,0,1,1,0,1,12
attenuation,10,1,0,3,2,0,1,23,9,1,1,4,2,3,0,2,2,0,11,2,4,10,0,9,1,4,0,0,3,17
attias,0,0,0,0,0,0,0,0,0,5,7,7,18,20,5,2,4,4,6,5,3,8,2,4,2,1,1,2,4,18
attracted,7,2,7,3,3,1,1,0,5,5,2,2,5,4,1,6,6,8,14,5,4,13,8,7,13,8,19,24,20,25
attraction,71,18,16,21,3,2,7,2,4,13,8,3,8,3,4,1,4,1,16,3,6,4,2,6,2,18,6,29,8,27
attractive,9,15,11,10,9,3,17,9,16,16,16,7,10,12,8,21,30,25,20,47,70,38,38,44,49,57,51,90,47,29
attractiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82,3,0,0,1,2,2,3,1,1,5
attractor,27,37,16,33,12,34,39,46,23,29,83,20,118,5,3,6,16,40,18,4,4,20,13,20,5,34,21,48,31,29
attractors,27,41,21,43,3,43,18,37,4,5,54,6,55,3,1,3,3,13,20,2,3,4,2,4,5,40,12,17,1,27
attribute,4,9,3,4,18,31,24,9,13,30,14,26,23,4,1,22,15,29,7,77,66,31,22,80,56,91,139,367,39,28
attributed,7,3,7,3,3,2,7,10,6,5,5,6,7,0,5,8,9,7,13,10,22,20,14,15,11,23,12,21,14,28
attributes,14,7,2,8,20,26,20,14,14,25,23,37,60,23,5,29,48,76,41,129,105,38,32,104,115,106,212,305,46,29
atypical,1,0,1,0,1,3,0,2,1,7,0,1,1,1,5,1,1,12,1,1,1,0,2,3,5,0,2,2,5,11
auai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,1,1,4,8,6,15,19,12,8
auction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,0,1,1,2,0,46,24,16,102,7
auctions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,1,1,3,2,1,44,25,52,104,8
audibert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,3,4,2,8,23,16,16,24,24,11
audio,1,0,1,1,3,1,7,5,12,5,24,3,47,65,42,3,23,22,37,19,38,98,40,59,43,103,80,105,28,24
auditing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,1
auditory,11,59,18,8,72,53,86,117,102,27,145,11,97,82,45,113,97,54,59,41,90,81,29,46,38,51,24,34,12,29
aug,1,3,2,0,2,1,2,0,0,2,3,1,0,0,3,2,3,5,2,4,5,18,8,11,13,15,31,22,9,21
augment,1,0,0,3,1,6,1,1,7,4,1,4,4,2,0,3,6,10,10,13,8,12,28,21,16,45,19,32,30,21
augmentation,1,0,0,3,0,1,0,0,0,0,8,0,2,0,0,1,0,1,1,8,8,5,9,6,6,19,37,55,102,13
augmented,7,1,10,10,16,9,2,11,4,7,25,8,12,14,9,40,18,17,20,31,18,52,30,80,99,118,98,227,148,28
augmenting,0,1,1,3,6,0,0,1,2,1,1,4,2,2,0,3,3,1,9,5,8,9,6,12,8,15,8,23,21,19
august,5,7,6,6,8,7,6,0,5,1,7,8,4,3,4,7,12,19,13,16,11,14,19,38,24,25,18,24,14,27
austin,0,0,6,7,6,7,0,6,4,4,8,13,6,0,0,0,0,7,10,7,4,7,10,24,18,31,34,46,37,22
australia,0,0,0,4,15,8,11,8,10,6,7,6,22,3,2,5,3,9,11,31,9,13,16,13,4,16,8,10,4,26
australian,0,0,6,3,10,4,4,5,7,4,8,8,11,5,6,7,1,5,8,14,17,15,11,19,16,13,13,24,23,26
austria,0,0,0,0,0,0,2,3,3,4,2,3,5,4,0,2,3,4,4,8,2,4,3,1,5,9,4,7,8,21
authority,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,18,1,7,2,0,0,4,1,24,1,8,6,9
auto,9,20,8,18,22,12,28,22,15,10,15,13,16,0,1,4,1,1,6,26,9,38,32,21,50,55,101,61,160,25
autoassociative,21,5,2,2,0,9,0,9,0,2,4,2,0,1,0,0,2,12,0,1,0,0,1,0,6,0,2,4,1,14
autocorrelation,1,0,0,2,3,4,9,12,11,9,6,3,9,0,5,0,0,12,7,3,21,18,15,8,8,23,4,40,6,23
autoencoder,0,0,0,3,0,12,17,14,1,0,11,7,0,1,0,0,3,1,0,2,0,2,12,2,31,18,25,84,124,16
autoencoders,0,0,0,0,0,0,8,4,1,2,3,1,0,0,0,2,1,1,0,2,2,0,13,5,50,14,22,53,90,14
automata,14,11,23,11,28,34,46,15,37,17,3,9,14,4,4,30,29,7,3,8,4,2,1,17,5,33,6,4,15,28
automated,6,5,3,19,17,6,5,7,5,9,13,7,13,12,4,7,26,21,17,9,19,27,20,23,41,38,30,37,60,29
automatic,14,39,41,22,29,35,36,18,19,30,24,42,33,28,32,60,92,67,44,49,75,72,71,84,89,115,80,108,116,29
automatically,10,19,13,31,31,24,33,17,15,30,28,40,23,28,32,37,72,99,70,66,81,96,111,101,96,108,104,118,120,29
automation,7,4,4,6,7,12,4,3,5,3,4,1,1,4,0,7,5,6,16,9,18,2,14,12,2,17,16,14,12,26
automaton,15,13,11,0,6,23,42,2,27,2,4,2,0,3,0,6,34,9,1,2,0,1,0,3,0,19,1,1,5,19
autonomous,13,32,13,26,4,14,15,18,26,1,11,15,6,12,3,2,30,16,24,32,11,6,10,19,41,35,37,19,30,28
autonomously,2,0,1,2,1,1,3,0,6,1,3,0,4,4,0,0,5,3,4,4,4,1,3,4,7,1,2,1,3,17
autoregressive,1,1,2,5,7,1,7,4,2,9,2,13,6,1,2,5,9,4,5,7,5,8,14,17,17,32,24,28,36,25
auv,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,11,0,0,0,0,0,7,0,2,8,1,2,7,5,9
auxiliary,22,2,0,4,1,7,13,12,2,12,3,8,11,27,10,16,14,13,31,27,49,59,163,54,83,88,127,156,142,27
avail,0,1,0,1,2,1,1,0,1,3,6,4,3,0,1,2,0,0,1,4,6,1,4,3,4,7,7,9,2,15
availability,0,2,2,5,3,2,3,1,1,6,8,4,3,3,2,5,6,2,8,13,11,14,12,20,12,27,24,39,13,26
available,55,72,82,84,101,96,96,99,127,146,123,111,102,88,80,151,190,235,213,276,304,292,304,382,424,483,468,555,477,29
ave,5,1,4,5,2,4,5,0,9,13,8,1,6,2,1,5,7,1,7,11,8,8,7,2,25,10,3,4,1,23
avenue,2,1,3,4,4,6,1,2,1,3,2,7,5,3,2,4,6,5,6,8,10,9,6,11,12,18,13,8,15,26
avenues,0,1,0,2,0,0,0,1,0,0,1,3,1,1,2,1,3,1,2,3,2,4,3,4,5,4,4,4,12,15
aver,2,1,1,1,2,5,3,6,0,5,2,2,1,0,0,1,0,0,0,6,3,2,3,4,9,9,4,4,0,17
average,135,110,104,184,223,200,197,226,218,284,241,257,247,206,242,339,476,465,444,399,558,534,634,817,721,979,929,894,914,29
averaged,21,23,25,26,59,37,64,40,40,61,28,62,45,55,28,51,86,108,80,104,107,133,138,127,146,190,193,176,197,29
averages,2,15,8,14,14,13,9,19,20,31,26,37,41,22,15,36,26,34,31,32,33,35,15,33,43,48,66,35,43,29
averaging,2,18,16,14,28,23,35,53,57,51,55,42,90,43,21,57,52,75,98,60,65,114,68,86,152,154,132,121,164,29
aversion,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,1,2,0,8,5,9,2,5,14,8
aviv,0,0,0,6,2,6,6,2,1,2,10,8,7,2,3,2,5,7,13,4,0,1,0,5,1,2,10,0,3,20
avlsi,0,0,0,0,0,0,0,0,0,0,5,5,0,1,3,0,3,13,20,1,1,0,0,0,0,0,0,0,0,6
avoid,15,24,20,31,32,23,43,32,41,26,39,38,37,32,32,41,70,87,67,72,85,97,104,137,120,135,161,151,151,29
avoidance,0,1,2,16,22,1,1,1,9,3,13,9,0,3,1,0,9,8,12,4,2,2,2,0,6,2,6,1,3,19
avoided,10,10,5,7,11,7,4,8,10,5,5,7,9,10,2,10,9,12,12,9,5,14,10,8,13,14,20,15,23,29
avoiding,6,7,3,10,6,5,4,4,17,10,9,19,14,8,3,10,17,8,9,16,10,23,14,26,30,41,35,30,35,29
avoids,5,4,5,5,8,5,10,7,16,3,8,10,10,10,9,12,17,13,14,18,21,22,17,50,29,45,38,44,40,29
awake,6,0,1,1,4,1,4,0,0,5,15,1,1,1,0,10,5,0,8,4,1,5,22,3,3,20,15,12,5,17
award,2,0,7,7,12,7,3,1,4,4,3,10,4,5,5,6,6,10,8,9,12,15,16,29,40,64,83,57,58,27
aware,3,2,1,2,1,2,4,3,4,6,1,4,2,7,3,4,7,11,10,15,15,43,37,31,39,79,40,74,77,26
awareness,0,0,0,0,1,0,0,6,0,0,2,1,0,0,2,0,0,2,1,1,3,1,2,3,3,12,0,6,9,11
away,17,21,12,49,32,22,35,32,30,36,38,33,27,35,15,50,42,45,61,56,56,48,58,84,85,92,86,100,121,29
axe,17,7,1,0,4,5,3,9,17,22,13,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
axes,4,8,4,18,16,11,18,4,21,10,35,33,15,23,3,25,27,14,16,22,18,13,13,22,41,19,13,22,10,29
axial,2,0,3,0,2,0,3,0,0,7,0,0,8,1,1,0,8,2,3,5,1,1,3,6,0,0,0,3,2,14
axiom,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,1,7,1,4,26,7
axioms,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,67,12,20,5,9,1,6,8,10
axis,30,31,27,48,32,49,42,55,95,37,77,61,73,33,14,54,81,100,94,84,103,86,102,150,90,136,117,116,125,29
axon,60,10,9,15,11,15,5,46,6,0,20,1,9,2,0,11,8,4,22,0,0,19,3,5,3,2,1,1,8,22
axonal,18,4,15,3,3,3,8,12,3,2,1,0,53,3,0,24,4,0,3,1,0,1,0,11,1,0,1,2,2,18
axons,52,3,41,14,18,4,6,9,8,1,28,3,27,1,0,18,3,1,7,0,0,2,3,2,3,2,4,5,7,23
axt,1,0,0,1,0,3,4,1,1,2,2,4,3,0,0,0,9,3,3,4,5,2,1,6,6,14,12,16,8,18
azimuth,0,8,3,0,2,0,7,4,1,0,3,1,4,2,5,8,10,0,2,2,1,7,3,23,0,10,0,0,23,18
bach,0,0,0,3,11,1,1,0,0,3,16,4,0,0,0,9,6,20,12,8,19,37,37,83,86,71,85,72,80,19
bachrach,0,0,5,7,2,2,0,0,0,0,4,0,0,0,0,1,1,0,6,0,0,1,0,0,8,3,7,5,5,11
back,172,257,267,279,196,110,119,114,150,80,79,57,59,47,28,40,67,69,63,87,75,92,94,135,103,131,113,201,230,29
backbone,2,1,0,18,0,2,4,0,2,0,0,0,0,1,1,3,1,3,0,3,11,4,10,9,1,6,6,2,4,16
backed,0,0,0,0,0,1,0,0,2,0,2,1,1,0,13,0,21,0,0,1,1,0,1,2,0,1,2,2,5,8
backfitting,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,8,10,15,6,5,0,0,11,1,2,0,9
backgammon,17,9,0,0,10,3,10,5,6,30,2,2,0,3,2,0,0,3,0,0,2,0,2,0,1,0,0,0,0,15
background,26,32,20,19,94,61,32,23,85,39,89,66,53,42,49,132,50,160,112,182,102,113,157,143,171,150,253,242,174,29
backgrounds,1,1,0,0,1,2,1,4,4,1,1,3,1,1,0,5,1,2,3,5,8,2,10,11,12,6,11,12,7,17
backprop,0,5,20,16,27,12,18,53,22,5,4,5,1,13,0,0,2,1,1,1,3,5,2,2,0,4,9,15,17,21
backpropagate,0,4,1,0,4,0,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,1,10,19,8
backpropagated,1,2,1,3,0,6,3,2,4,1,1,2,0,4,4,0,0,0,0,0,1,0,0,1,0,2,3,2,10,13
backpropagation,49,54,80,91,126,121,137,120,93,23,15,14,18,16,9,1,10,8,15,5,6,12,6,23,16,22,29,53,149,28
backtracking,2,2,0,2,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,1,6,4,9,7,14,2,33,36,17
backup,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1,15,1,3,0,6,0,19,3,25,28,43,2,0,10
backups,0,0,0,0,0,3,0,3,1,11,11,0,8,1,0,1,7,2,2,1,0,1,8,1,2,8,18,3,3,14
backward,17,8,16,25,49,16,20,16,39,17,21,40,33,26,15,18,41,25,34,47,46,81,57,123,68,177,71,118,122,29
backwards,5,2,5,7,3,5,5,3,1,7,3,1,3,7,1,11,15,5,4,1,25,12,3,7,9,13,13,7,12,25
bad,7,14,8,15,6,3,13,10,20,10,9,8,7,6,20,9,24,17,24,13,48,39,25,47,42,42,65,70,71,29
badly,3,0,2,1,1,3,0,4,5,0,2,2,1,3,3,4,5,2,2,5,13,5,6,7,11,8,8,11,8,23
badmm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1
bag,0,0,0,0,0,0,1,0,1,1,25,0,4,2,0,29,16,10,33,85,65,90,54,134,134,70,89,102,68,17
bagging,0,0,0,0,0,0,0,0,26,59,18,6,12,2,0,3,0,3,0,3,3,3,7,1,2,2,7,7,15,17
bagnell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,8,6,6,2,17,9,14,17,11,16,12
bags,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,5,22,2,13,44,50,40,13,70,66,9,8,47,0,14
bair,0,0,5,5,0,7,3,0,6,10,0,1,2,0,0,0,1,0,2,1,0,1,2,1,1,1,2,0,0,10
baird,4,17,14,8,4,22,25,18,15,2,15,9,10,1,9,1,1,6,3,0,3,9,4,0,3,1,0,2,1,21
baker,0,1,0,4,3,5,0,2,2,2,4,0,2,5,2,8,8,4,12,1,9,4,12,6,6,4,5,10,7,23
balance,10,5,10,10,8,20,10,7,15,16,10,18,8,8,12,28,34,27,58,20,29,32,43,53,38,65,76,95,86,29
balanced,3,9,3,6,20,14,3,3,9,6,5,29,5,7,7,16,34,21,45,33,12,40,18,43,73,69,117,147,92,29
balances,0,1,0,0,3,1,4,0,1,2,1,3,1,0,0,8,1,2,2,9,5,6,12,9,12,13,16,13,7,17
balancing,3,0,6,18,4,9,3,5,5,48,7,5,2,3,7,4,10,10,12,12,11,11,10,17,35,40,38,55,49,28
balcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,9,6,3,21,15,10,25,32,31,10
baldi,6,6,9,16,2,23,20,11,11,5,3,0,3,0,0,2,1,6,4,6,3,2,1,1,6,5,6,10,9,23
ball,1,9,1,16,19,5,10,9,6,3,6,11,15,12,5,51,68,43,52,59,38,150,102,115,111,116,117,214,176,27
ballard,12,17,5,8,17,4,6,13,13,4,7,3,12,2,3,6,6,2,9,0,9,1,2,2,0,7,1,4,2,25
balls,2,0,0,1,11,2,0,0,0,1,3,1,3,3,1,39,9,4,29,33,7,38,61,43,27,28,32,57,46,20
baltimore,3,4,2,0,9,9,3,4,4,2,3,6,2,2,5,1,2,6,2,5,2,3,6,0,2,7,4,6,10,26
baluja,0,0,0,0,0,0,9,9,14,26,10,14,2,0,4,4,2,6,0,0,3,1,1,1,0,1,1,0,0,12
bamcp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,0,2
banach,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,3,1,3,2,2,0,9,5,5,72,5,3,14,22,13
banana,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,2,0,3,0,1,10,1,5,8,1,4,3,3,2,12
band,11,24,10,34,15,6,9,8,28,26,25,21,25,43,45,22,47,15,48,27,31,39,38,23,32,24,30,40,40,29
bandit,2,0,0,0,0,0,2,0,3,34,0,0,0,0,0,0,9,41,1,62,36,110,94,81,300,128,305,306,424,16
bandits,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,29,37,7,20,144,33,79,120,284,10
bandpass,2,1,0,0,3,6,2,11,4,3,9,6,10,10,3,8,17,5,2,2,4,31,23,5,4,6,1,2,0,24
bands,8,1,7,8,19,6,31,9,17,17,4,3,16,26,7,4,34,2,14,20,12,37,6,4,6,13,12,18,14,28
